Time [s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
75	340.62	-18.48	-6290	-0.164	-54	14.865	12	178.5	0.146	2.17	14.865	-2.025	-30.2	0.0344	0.33	340.66	0.025	9	0.0005	0.1	340.63	0.002	1	0	0	236.6	29.221	6909	0.2544	60.1
80	340.76	-18.55	-6320	-0.19	-63	14.869	12.24	182	0.163	2.42	14.868	-2.132	-31.7	0.0315	0.29	340.79	0.025	9	0.0005	0.1	340.77	0.002	1	0	0	236.44	29.255	6913	0.2947	69.6
85	340.89	-18.46	-6290	-0.215	-72	14.867	11.89	176.8	0.18	2.67	14.865	-1.875	-27.9	0.0288	0.25	340.93	0.026	9	0.0005	0.1	340.9	0.002	1	0	0	236.61	29.26	6920	0.3353	79.2
90	341	-18.38	-6270	-0.241	-80	14.867	12.01	178.7	0.196	2.92	14.867	-2.039	-30.4	0.026	0.21	341.03	0.025	8	0.0006	0.1	341.02	0.002	1	0	0	236.35	29.254	6910	0.3758	88.8
95	341.11	-18.5	-6310	-0.266	-89	14.867	11.88	176.6	0.213	3.17	14.866	-1.884	-28.1	0.0233	0.17	341.15	0.026	9	0.0006	0.2	341.11	0.002	1	0	0	236.5	29.177	6896	0.4163	98.4
100	341.2	-18.3	-6250	-0.292	-98	14.869	12.1	180	0.23	3.41	14.868	-1.998	-29.8	0.0206	0.13	341.23	0.025	9	0.0007	0.2	341.22	0.002	1	0	0	236.57	29.174	6898	0.4567	108
105	341.3	-18.34	-6260	-0.317	-106	14.866	11.85	176.2	0.246	3.66	14.864	-1.752	-26.1	0.018	0.09	341.33	0.026	9	0.0007	0.2	341.29	0.002	1	0	0	236.65	29.062	6873	0.4972	117.5
110	341.38	-18.3	-6250	-0.343	-115	14.868	11.94	177.6	0.263	3.9	14.868	-1.933	-28.8	0.0154	0.05	341.41	0.025	9	0.0007	0.2	341.38	0.002	1	0	0	236.46	29.058	6867	0.5375	127.1
115	341.47	-18.4	-6280	-0.368	-124	14.866	11.75	174.7	0.279	4.15	14.865	-1.721	-25.6	0.0129	0.01	341.51	0.026	9	0.0008	0.2	341.48	0.002	1	0	0	236.62	29.136	6890	0.5779	136.6
120	341.54	-18.4	-6280	-0.394	-133	14.869	11.93	177.5	0.296	4.4	14.868	-1.911	-28.5	0.0103	-0.02	341.58	0.026	9	0.0008	0.2	341.55	0.002	1	0	0	236.56	29.175	6897	0.6183	146.2
125	341.61	-18.29	-6250	-0.419	-141	14.868	11.82	175.7	0.312	4.64	14.865	-1.697	-25.3	0.0079	-0.06	341.66	0.025	9	0.0008	0.2	341.63	0.002	1	0	0	236.64	29.13	6889	0.6587	155.7
130	341.69	-18.4	-6290	-0.445	-150	14.869	11.01	163.8	0.329	4.88	14.87	-1.859	-27.7	0.0054	-0.1	341.73	0.026	9	0.0009	0.2	341.69	0.002	1	0	0	236.45	29.043	6863	0.6991	165.3
135	341.75	-18.24	-6230	-0.47	-159	14.869	10.73	159.6	0.344	5.11	14.866	-1.648	-24.6	0.0029	-0.13	341.79	0.026	9	0.0009	0.3	341.77	0.002	1	0	0	236.54	29.011	6858	0.7395	174.8
140	341.84	-18.52	-6330	-0.496	-167	14.872	10.73	159.7	0.359	5.33	14.87	-1.835	-27.4	0.0005	-0.17	341.88	0.027	9	0.0009	0.3	341.83	0.002	1	0	0	236.49	29.086	6874	0.7799	184.4
145	341.89	-18.4	-6290	-0.521	-176	14.87	10.55	157	0.373	5.55	14.867	-1.667	-24.9	-0.0018	-0.21	341.93	0.026	9	0.001	0.3	341.91	0.002	1	0	0	236.61	29.136	6890	0.8202	193.9
150	341.95	-18.35	-6270	-0.547	-185	14.869	10.52	156.6	0.388	5.76	14.868	-1.676	-25	-0.0042	-0.24	341.99	0.027	9	0.001	0.3	341.96	0.002	1	0	0	236.38	29.153	6887	0.8603	203.4
155	342	-18.38	-6290	-0.572	-194	14.871	10.55	157	0.402	5.98	14.867	-1.584	-23.6	-0.0065	-0.28	342.03	0.027	9	0.001	0.3	342	0.001	0	0	0	236.56	28.946	6843	0.9009	213
160	342.06	-18.3	-6260	-0.598	-202	14.87	10.57	157.2	0.417	6.2	14.868	-1.679	-25	-0.0088	-0.31	342.1	0.026	9	0.0011	0.3	342.09	0.002	1	0	0	236.5	29.131	6886	0.9413	222.5
165	342.12	-18.3	-6260	-0.623	-211	14.868	10.36	154.2	0.432	6.41	14.866	-1.486	-22.2	-0.0111	-0.34	342.17	0.026	9	0.0011	0.3	342.14	0.001	0	0	0	236.77	29.103	6886	0.9817	232.1
170	342.18	-18.5	-6330	-0.649	-220	14.871	10.55	157	0.446	6.63	14.869	-1.716	-25.6	-0.0134	-0.38	342.22	0.027	9	0.0012	0.3	342.18	0.002	1	0	0	236.55	29.123	6885	1.022	241.6
175	342.23	-18.28	-6260	-0.674	-229	14.869	10.38	154.4	0.46	6.84	14.867	-1.462	-21.8	-0.0156	-0.41	342.27	0.026	9	0.0012	0.4	342.26	0.001	0	0	0	236.68	29.125	6889	1.0624	251.2
180	342.29	-18.47	-6320	-0.7	-237	14.872	10.5	156.3	0.475	7.06	14.869	-1.589	-23.7	-0.0178	-0.44	342.33	0.027	9	0.0012	0.4	342.29	0.001	0	0	0	236.33	29.087	6870	1.1027	260.7
185	342.34	-18.34	-6280	-0.725	-246	14.868	10.32	153.6	0.49	7.28	14.868	-1.581	-23.6	-0.02	-0.48	342.36	0.026	9	0.0013	0.4	342.35	0.001	0	0	0	236.56	29.036	6864	1.143	270.3
190	342.39	-18.41	-6300	-0.751	-255	14.873	10.6	157.8	0.504	7.49	14.871	-1.738	-25.9	-0.0222	-0.51	342.42	0.027	9	0.0013	0.4	342.39	0.001	0	0	0	236.48	29.024	6859	1.1833	279.8
195	342.42	-18.25	-6250	-0.776	-263	14.869	10.3	153.2	0.518	7.7	14.87	-1.591	-23.7	-0.0243	-0.54	342.47	0.026	9	0.0013	0.4	342.45	0.002	1	0	0	236.55	29.013	6859	1.2236	289.3
200	342.49	-18.44	-6320	-0.802	-272	14.87	10.43	155.2	0.533	7.92	14.867	-1.441	-21.5	-0.0265	-0.57	342.53	0.027	9	0.0014	0.4	342.49	0.002	1	0	0	236.42	29.036	6860	1.264	298.9
205	342.52	-18.21	-6240	-0.827	-281	14.873	10.48	155.9	0.547	8.13	14.875	-1.966	-29.3	-0.0286	-0.6	342.56	0.026	9	0.0014	0.4	342.54	0.002	1	0	0	236.7	29.021	6865	1.3043	308.4
210	342.59	-18.42	-6310	-0.853	-290	14.869	10.35	154	0.561	8.35	14.868	-1.446	-21.6	-0.0307	-0.64	342.62	0.027	9	0.0015	0.4	342.58	0.001	1	0	0	236.69	29.03	6867	1.3446	317.9
215	342.62	-18.22	-6240	-0.878	-298	14.867	10.21	151.9	0.576	8.56	14.868	-1.47	-21.9	-0.0328	-0.67	342.67	0.026	9	0.0015	0.5	342.64	0.001	1	0	0	236.78	28.98	6858	1.3849	327.5
220	342.68	-18.39	-6300	-0.903	-307	14.868	10.23	152.2	0.59	8.77	14.866	-1.333	-19.9	-0.0349	-0.7	342.71	0.027	9	0.0015	0.5	342.67	0.001	1	0	0	236.65	29.004	6859	1.4251	337
225	342.72	-18.35	-6290	-0.929	-316	14.87	10.32	153.5	0.604	8.99	14.869	-1.557	-23.2	-0.0369	-0.73	342.76	0.027	9	0.0016	0.5	342.73	0.001	0	0	0	236.8	29.035	6871	1.4654	346.5
230	342.76	-18.38	-6300	-0.955	-324	14.868	10.23	152.1	0.619	9.2	14.866	-1.329	-19.8	-0.0389	-0.76	342.8	0.027	9	0.0016	0.5	342.78	0.001	0	0	0	236.57	29.055	6869	1.5057	356.1
235	342.81	-18.35	-6290	-0.98	-333	14.869	10.22	152.1	0.633	9.41	14.867	-1.405	-21	-0.0409	-0.79	342.85	0.027	9	0.0016	0.5	342.82	0.001	0	0	0	236.79	28.982	6858	1.546	365.6
240	342.85	-18.21	-6240	-1.005	-342	14.868	10.12	150.6	0.647	9.62	14.869	-1.438	-21.4	-0.0429	-0.82	342.89	0.027	9	0.0017	0.5	342.87	0.001	0	0	0	236.68	29.014	6862	1.5862	375.1
245	342.91	-18.41	-6310	-1.031	-351	14.872	10.31	153.5	0.661	9.83	14.868	-1.375	-20.5	-0.0449	-0.85	342.95	0.027	9	0.0017	0.5	342.91	0.001	0	0	0	236.97	28.969	6860	1.6265	384.6
250	342.94	-18.25	-6260	-1.056	-359	14.871	10.29	153.1	0.676	10.04	14.873	-1.752	-26.1	-0.0469	-0.88	342.98	0.026	9	0.0018	0.5	342.96	0.002	1	0	0	236.65	29.017	6863	1.6668	394.2
255	343	-18.42	-6320	-1.082	-368	14.872	10.32	153.6	0.69	10.26	14.871	-1.527	-22.8	-0.0488	-0.91	343.03	0.027	9	0.0018	0.6	343	0.001	0	0	0	236.81	28.986	6860	1.7071	403.7
260	343.04	-18.27	-6270	-1.107	-377	14.869	10.07	149.8	0.704	10.47	14.869	-1.46	-21.8	-0.0508	-0.94	343.07	0.026	9	0.0018	0.6	343.06	0.002	1	0	0	236.63	29.027	6864	1.7474	413.2
265	343.08	-18.24	-6260	-1.132	-385	14.867	10.07	149.8	0.718	10.68	14.866	-1.247	-18.6	-0.0527	-0.96	343.12	0.027	9	0.0019	0.6	343.1	0.001	0	0.0001	0	236.67	29.011	6862	1.7876	422.8
270	343.14	-18.34	-6290	-1.158	-394	14.871	10.24	152.3	0.732	10.89	14.868	-1.362	-20.3	-0.0546	-0.99	343.18	0.027	9	0.0019	0.6	343.15	0.001	0	0.0001	0	236.65	29.068	6875	1.8279	432.3
275	343.17	-18.18	-6240	-1.183	-403	14.871	10.22	152.1	0.746	11.1	14.869	-1.365	-20.4	-0.0565	-1.02	343.22	0.026	9	0.0019	0.6	343.19	0.001	0	0.0001	0	236.88	28.956	6855	1.8681	441.8
280	343.23	-18.37	-6300	-1.209	-412	14.872	10.2	151.7	0.76	11.31	14.869	-1.33	-19.8	-0.0583	-1.05	343.26	0.027	9	0.002	0.6	343.24	0.001	0	0.0001	0	236.53	29.043	6865	1.9084	451.3
285	343.29	-18.45	-6330	-1.234	-420	14.871	10.2	151.8	0.775	11.52	14.869	-1.294	-19.3	-0.0602	-1.08	343.33	0.027	9	0.002	0.6	343.29	0.002	1	0.0001	0	236.83	29.074	6881	1.9487	460.9
290	343.32	-18.21	-6250	-1.26	-429	14.869	10	148.7	0.789	11.72	14.867	-1.233	-18.4	-0.062	-1.1	343.35	0.026	9	0.002	0.6	343.34	0.002	1	0.0001	0	236.86	28.985	6861	1.9891	470.4
295	343.37	-18.38	-6310	-1.285	-438	14.872	10.29	153.1	0.803	11.93	14.869	-1.371	-20.5	-0.0639	-1.13	343.4	0.027	9	0.0021	0.7	343.37	0.001	0	0.0001	0	236.94	28.993	6865	2.0294	480
300	343.42	-18.34	-6300	-1.31	-447	14.869	9.95	148	0.817	12.14	14.869	-1.288	-19.2	-0.0657	-1.16	343.46	0.027	9	0.0021	0.7	343.43	0.001	0	0.0001	0	236.73	28.986	6858	2.0696	489.5
305	343.46	-18.19	-6250	-1.336	-455	14.869	10	148.8	0.831	12.35	14.868	-1.172	-17.5	-0.0675	-1.18	343.49	0.027	9	0.0022	0.7	343.48	0.001	0	0.0001	0	236.93	28.962	6858	2.1099	499
310	343.51	-18.33	-6300	-1.361	-464	14.869	10.07	149.8	0.845	12.56	14.869	-1.373	-20.5	-0.0693	-1.21	343.55	0.027	9	0.0022	0.7	343.53	0	0	0.0001	0	236.67	29.068	6875	2.1499	508.5
315	343.55	-18.2	-6250	-1.387	-473	14.869	9.97	148.3	0.859	12.77	14.868	-1.198	-17.9	-0.0711	-1.24	343.6	0.027	9	0.0022	0.7	343.57	0.002	1	0.0001	0	236.77	28.997	6861	2.1902	518.1
320	343.61	-18.31	-6290	-1.412	-482	14.871	10.15	151	0.873	12.97	14.868	-1.2	-17.9	-0.0728	-1.26	343.64	0.027	9	0.0023	0.7	343.61	0.001	1	0.0001	0	236.68	29.023	6865	2.2305	527.6
325	343.66	-18.32	-6300	-1.438	-490	14.87	10.03	149.3	0.887	13.18	14.87	-1.365	-20.4	-0.0746	-1.29	343.7	0.027	9	0.0023	0.7	343.67	0.001	0	0.0001	0	236.82	28.973	6857	2.2708	537.1
330	343.7	-18.21	-6260	-1.463	-499	14.867	9.98	148.5	0.901	13.39	14.865	-1.141	-17	-0.0764	-1.32	343.75	0.027	9	0.0023	0.8	343.72	0.001	0	0.0001	0	236.66	29.073	6876	2.311	546.7
335	343.76	-18.38	-6320	-1.488	-508	14.87	10.07	149.8	0.914	13.6	14.868	-1.24	-18.5	-0.0781	-1.34	343.81	0.027	9	0.0024	0.8	343.76	0.002	1	0.0001	0	236.88	29.088	6886	2.3513	556.2
340	343.79	-18.15	-6240	-1.514	-516	14.868	9.96	148.1	0.928	13.8	14.868	-1.198	-17.9	-0.0798	-1.37	343.84	0.027	9	0.0024	0.8	343.81	0.001	0	0.0001	0	236.82	28.936	6848	2.3915	565.7
345	343.86	-18.39	-6320	-1.539	-525	14.872	10.12	150.6	0.942	14.01	14.866	-1.141	-17	-0.0816	-1.39	343.9	0.027	9	0.0025	0.8	343.85	0.001	1	0.0001	0	236.85	28.987	6861	2.4317	575.2
350	343.9	-18.28	-6290	-1.564	-534	14.87	10.11	150.4	0.956	14.22	14.869	-1.273	-19	-0.0833	-1.42	343.94	0.027	9	0.0025	0.8	343.92	0.001	0	0.0001	0	236.59	29.025	6863	2.4719	584.7
355	343.95	-18.38	-6320	-1.59	-543	14.869	9.93	147.7	0.97	14.43	14.868	-1.185	-17.7	-0.085	-1.45	343.98	0.027	9	0.0025	0.8	343.96	0.001	1	0.0001	0	236.81	29.026	6869	2.5121	594.3
360	344	-18.29	-6290	-1.615	-551	14.873	10.11	150.4	0.984	14.63	14.871	-1.216	-18.1	-0.0867	-1.47	344.05	0.027	9	0.0026	0.8	344.01	0.002	1	0.0001	0	236.69	29.046	6870	2.5523	603.8
365	344.04	-18.19	-6260	-1.64	-560	14.868	9.87	146.8	0.998	14.84	14.868	-1.204	-18	-0.0884	-1.5	344.08	0.026	9	0.0026	0.8	344.05	0.002	1	0.0001	0.1	236.9	29.009	6868	2.5925	613.3
370	344.09	-18.33	-6310	-1.666	-569	14.868	9.88	147	1.012	15.05	14.867	-1.109	-16.6	-0.0901	-1.52	344.14	0.027	9	0.0026	0.9	344.09	0.002	1	0.0001	0.1	236.67	28.934	6843	2.6326	622.8
375	344.13	-18.12	-6240	-1.691	-578	14.873	10.14	150.9	1.026	15.25	14.87	-1.237	-18.5	-0.0917	-1.55	344.18	0.026	9	0.0027	0.9	344.15	0.002	1	0.0001	0.1	236.61	28.954	6847	2.6728	632.3
380	344.19	-18.3	-6300	-1.716	-586	14.869	9.91	147.5	1.039	15.46	14.87	-1.245	-18.6	-0.0934	-1.57	344.22	0.027	9	0.0027	0.9	344.19	0.002	1	0.0001	0.1	236.4	28.979	6846	2.713	641.8
385	344.25	-18.31	-6300	-1.742	-595	14.871	10.06	149.6	1.053	15.66	14.867	-1.133	-16.9	-0.0951	-1.6	344.29	0.027	9	0.0028	0.9	344.26	0.002	1	0.0001	0.1	236.72	28.948	6848	2.7532	651.3
390	344.29	-18.11	-6230	-1.767	-604	14.871	9.94	147.9	1.067	15.87	14.869	-1.083	-16.2	-0.0967	-1.62	344.32	0.026	9	0.0028	0.9	344.31	0.002	1	0.0001	0.1	236.53	28.937	6840	2.7934	660.8
395	344.35	-18.28	-6300	-1.793	-612	14.87	9.9	147.2	1.081	16.08	14.87	-1.206	-18	-0.0984	-1.65	344.39	0.027	9	0.0028	0.9	344.34	0.002	1	0.0001	0.1	236.69	28.934	6844	2.8336	670.3
400	344.39	-18.11	-6240	-1.818	-621	14.868	9.94	147.8	1.095	16.28	14.866	-1.086	-16.2	-0.1	-1.67	344.43	0.026	9	0.0029	0.9	344.41	0.002	1	0.0001	0.1	236.49	28.966	6846	2.8738	679.9
405	344.46	-18.33	-6310	-1.843	-630	14.87	10	148.8	1.109	16.49	14.87	-1.298	-19.4	-0.1016	-1.69	344.49	0.027	9	0.0029	0.9	344.45	0.002	1	0.0001	0.1	236.72	28.934	6845	2.9139	689.4
410	344.5	-18.08	-6230	-1.868	-638	14.868	9.81	146	1.123	16.69	14.869	-1.201	-17.9	-0.1033	-1.72	344.53	0.026	9	0.0029	1	344.51	0.002	1	0.0001	0.1	236.64	28.921	6839	2.9541	698.9
415	344.56	-18.3	-6310	-1.893	-647	14.869	9.99	148.6	1.136	16.9	14.866	-1.12	-16.7	-0.1049	-1.74	344.6	0.026	9	0.003	1	344.56	0.002	1	0.0001	0.1	236.69	28.911	6839	2.9942	708.4
420	344.59	-18.09	-6240	-1.919	-656	14.869	11.14	165.7	1.151	17.12	14.869	-1.258	-18.8	-0.1065	-1.77	344.62	0.026	9	0.003	1	344.6	0.003	1	0.0001	0.1	236.71	28.767	6805	3.0343	717.8
425	344.64	-18.05	-6220	-1.944	-665	14.868	11.12	165.4	1.167	17.35	14.866	-1.096	-16.3	-0.1081	-1.79	344.69	0.026	9	0.003	1	344.65	0.003	1	0.0001	0.1	236.92	28.685	6792	3.0742	727.3
430	344.71	-18.08	-6230	-1.969	-673	14.868	11.09	165	1.182	17.58	14.866	-1.071	-16	-0.1097	-1.81	344.75	0.026	9	0.0031	1	344.71	0.003	1	0.0001	0.1	236.8	28.89	6837	3.1142	736.8
435	344.78	-18.24	-6290	-1.994	-682	14.867	11.12	165.4	1.198	17.81	14.867	-1.241	-18.5	-0.1113	-1.84	344.81	0.026	9	0.0031	1	344.77	0.003	1	0.0001	0.1	236.68	28.905	6837	3.1542	746.2
440	344.82	-18.15	-6260	-2.019	-691	14.87	11.03	164.1	1.213	18.04	14.869	-1.143	-17.1	-0.1129	-1.86	344.86	0.026	9	0.0032	1	344.83	0.003	1	0.0001	0.1	236.53	29.038	6864	3.1942	755.7
445	344.87	-18.18	-6270	-2.044	-699	14.869	10.96	163.1	1.228	18.27	14.87	-1.258	-18.8	-0.1145	-1.89	344.9	0.026	9	0.0032	1	344.86	0.003	1	0.0001	0.1	236.93	28.754	6808	3.2343	765.2
450	344.93	-18.09	-6240	-2.069	-708	14.864	10.73	159.6	1.244	18.5	14.865	-0.888	-13.3	-0.1161	-1.91	344.96	0.025	9	0.0032	1.1	344.94	0.003	1	0.0001	0.1	236.68	28.85	6824	3.2742	774.7
455	344.97	-18.02	-6220	-2.095	-716	14.871	11.04	164.3	1.259	18.72	14.867	-1.026	-15.3	-0.1177	-1.93	345.01	0.026	9	0.0033	1.1	344.98	0.003	1	0.0001	0.1	237.05	28.806	6824	3.3143	784.1
460	345.03	-18.05	-6230	-2.12	-725	14.869	11.01	163.7	1.274	18.95	14.869	-1.197	-17.9	-0.1193	-1.96	345.07	0.026	9	0.0033	1.1	345.04	0.003	1	0.0002	0.1	236.75	28.827	6820	3.3542	793.6
465	345.09	-18.05	-6230	-2.145	-734	14.87	11.01	163.8	1.29	19.18	14.867	-1.132	-16.9	-0.1208	-1.98	345.13	0.026	9	0.0033	1.1	345.11	0.003	1	0.0002	0.1	236.99	28.799	6820	3.3937	802.9
470	345.15	-18.16	-6270	-2.17	-743	14.867	10.98	163.4	1.305	19.41	14.868	-1.184	-17.7	-0.1224	-2	345.19	0.026	9	0.0034	1.1	345.17	0.003	1	0.0002	0.1	236.63	28.897	6834	3.4341	812.5
475	345.21	-18.07	-6240	-2.195	-751	14.867	10.94	162.7	1.32	19.63	14.868	-1.22	-18.2	-0.124	-2.03	345.24	0.026	9	0.0034	1.1	345.23	0.003	1	0.0002	0.1	236.87	28.96	6855	3.4743	822
480	345.26	-18.04	-6230	-2.221	-760	14.868	11	163.6	1.336	19.86	14.866	-1.002	-15	-0.1256	-2.05	345.31	0.025	9	0.0034	1.1	345.27	0.003	1	0.0002	0.1	236.66	28.838	6820	3.5144	831.5
485	345.32	-18.13	-6260	-2.246	-769	14.887	11.5	171.3	1.351	20.09	14.886	-1.773	-26.5	-0.1272	-2.07	345.34	0.025	9	0.0035	1.1	345.33	0.004	1	0.0002	0.1	236.84	28.821	6822	3.5545	841
490	345.36	-18.05	-6230	-2.271	-777	14.87	10.24	152.3	1.366	20.32	14.876	-0.654	-9.8	-0.1287	-2.1	345.41	0.025	9	0.0035	1.2	345.39	0.003	1	0.0002	0.1	236.56	28.774	6802	3.5946	850.5
495	345.42	-17.98	-6210	-2.296	-786	14.87	11.09	165	1.381	20.54	14.867	-1.121	-16.7	-0.1303	-2.12	345.46	0.026	9	0.0035	1.2	345.45	0.004	1	0.0002	0.1	236.57	28.835	6817	3.6346	860
500	345.49	-18.01	-6220	-2.321	-795	14.869	10.95	162.9	1.397	20.77	14.871	-1.275	-19	-0.1318	-2.14	345.54	0.025	9	0.0036	1.2	345.51	0.003	1	0.0002	0.1	236.46	28.861	6820	3.6747	869.5
505	345.55	-18.15	-6270	-2.346	-803	14.87	11.02	163.9	1.412	21	14.866	-1.002	-15	-0.1334	-2.17	345.58	0.025	9	0.0036	1.2	345.55	0.003	1	0.0002	0.1	236.56	28.878	6827	3.7148	879
510	345.6	-18.09	-6250	-2.371	-812	14.867	10.98	163.3	1.427	21.22	14.867	-1.11	-16.6	-0.1349	-2.19	345.65	0.025	9	0.0036	1.2	345.62	0.004	1	0.0002	0.1	236.45	28.921	6834	3.7548	888.4
515	345.67	-18.04	-6230	-2.396	-821	14.868	10.87	161.7	1.442	21.45	14.869	-1.157	-17.3	-0.1365	-2.21	345.7	0.025	9	0.0037	1.2	345.68	0.003	1	0.0002	0.1	236.75	28.918	6842	3.7948	897.9
520	345.73	-18.21	-6300	-2.421	-829	14.869	10.02	149	1.457	21.67	14.867	-1.036	-15.5	-0.138	-2.24	345.77	0.026	9	0.0037	1.2	345.74	0.003	1	0.0002	0.1	236.45	28.935	6837	3.8349	907.4
