Time [s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
0	5.85	-0.3	0	-0.002	0	12.067	-0.01	-0.2	0	0	12.065	3.209	38.7	0.0262	0.32	5.89	0.009	0	0.0001	0	5.84	-0.004	0	0	0	239.65	0.028	5	0.0002	0
5	5.85	-0.3	0	-0.003	0	12.065	-0.01	-0.2	0	0	12.064	3.211	38.7	0.0307	0.37	5.89	0.009	0	0.0001	0	5.84	-0.004	0	0	0	239.95	0.029	5	0.0003	0.1
10	5.84	-0.3	0	-0.003	0	12.063	-0.01	-0.2	0	0	12.062	3.246	39.2	0.0352	0.42	5.89	0.009	0	0.0001	0	5.84	-0.004	0	0	0	239.67	0.028	5	0.0003	0.1
15	5.85	-0.3	0	-0.004	0	12.063	-0.01	-0.2	0	0	12.061	3.211	38.7	0.0397	0.48	5.88	0.009	0	0.0001	0	5.84	-0.004	0	0	0	239.88	0.028	5	0.0004	0.1
20	5.85	-0.3	0	-0.004	0	12.061	-0.01	-0.1	0	0	12.06	3.213	38.7	0.0441	0.53	5.88	0.009	0	0.0001	0	5.84	-0.003	0	-0.0001	0	239.95	0.028	5	0.0004	0.1
25	5.85	-0.3	0	-0.004	0	12.059	-0.01	-0.2	0	0	12.058	3.221	38.8	0.0486	0.59	5.88	0.009	0	0.0001	0	5.84	-0.004	0	-0.0001	0	239.96	0.028	5	0.0004	0.1
30	336.55	0.39	130	-0.004	0	14.867	10.35	153.9	0.007	0.11	14.868	-2.557	-38.1	0.0509	0.61	336.58	0.022	7	0.0002	0	336.56	0	0	-0.0001	0	239.76	0.028	5	0.0005	0.1
35	336.64	-0.17	-60	-0.004	0	11.894	-0.02	-0.3	0.011	0.16	11.893	8.006	95.2	0.0583	0.69	336.68	0.027	9	0.0002	0	336.66	-0.005	-2	-0.0001	0	239.95	0.029	5	0.0005	0.1
40	337.52	-5.83	-1970	-0.007	-1	14.866	11.99	178.4	0.027	0.39	14.866	-2.292	-34.1	0.0553	0.65	337.59	0.023	8	0.0002	0	337.59	0.001	0	-0.0001	0	238.77	9.672	2304	0.0051	1.1
45	338.34	-11.16	-3770	-0.013	-3	14.868	12.55	186.6	0.044	0.65	14.867	-2.312	-34.4	0.0522	0.6	338.35	0.024	8	0.0003	0	338.34	0.002	1	-0.0001	0	238.02	17.68	4198	0.0166	3.9
50	339.55	-17.61	-5980	-0.037	-11	14.867	12.39	184.3	0.061	0.9	14.865	-2.088	-31.1	0.0492	0.55	339.56	0.026	9	0.0003	0.1	339.54	0.002	1	-0.0001	0	236.78	27.68	6550	0.0534	12.6
55	339.86	-18.13	-6160	-0.061	-19	14.868	12.36	183.9	0.078	1.16	14.867	-2.244	-33.4	0.0461	0.51	339.89	0.025	8	0.0003	0.1	339.88	0.002	1	-0.0001	0	236.61	28.83	6817	0.092	21.7
60	340.12	-18.57	-6320	-0.087	-28	14.868	12.33	183.3	0.095	1.41	14.865	-2.078	-30.9	0.0431	0.46	340.15	0.025	9	0.0004	0.1	340.12	0.003	1	-0.0001	0	236.61	29.258	6919	0.1326	31.3
65	340.29	-18.38	-6250	-0.113	-37	14.866	12.05	179.2	0.112	1.66	14.866	-2.062	-30.7	0.0402	0.42	340.34	0.025	9	0.0004	0.1	340.31	0.002	1	0	0	236.63	29.235	6914	0.1732	40.9
70	340.47	-18.54	-6310	-0.138	-45	14.87	12.3	183	0.129	1.92	14.869	-2.188	-32.6	0.0373	0.38	340.49	0.025	8	0.0004	0.1	340.47	0.002	1	0	0	236.56	29.263	6918	0.2138	50.5
