Time[s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
0	5.77	-0.13	0	0	0	12.78	0	0	0	0	12.778	3.07	39.2	0.0039	0.05	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.1	0.023	5	0	0
5	5.78	-0.13	0	0	0	12.783	0	0	0	0	12.781	2.902	37.1	0.0081	0.1	5.73	-0.001	0	0	0	5.79	0.006	0	0	0	242.07	0.023	5	0.0001	0
10	5.77	-0.13	0	-0.001	0	12.832	0	0	0	0	12.829	1.466	18.8	0.0103	0.13	5.72	-0.001	0	0	0	5.8	0.006	0	0	0	241.86	0.023	5	0.0001	0
15	5.78	-0.13	0	-0.001	0	12.845	0	0	0	0	12.843	1.468	18.9	0.0123	0.16	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.17	0.024	5	0.0001	0
20	5.77	-0.14	0	-0.001	0	12.852	0	0	0	0	12.85	1.49	19.1	0.0144	0.18	5.72	-0.001	0	0	0	5.79	0.006	0	0	0	242.14	0.023	5	0.0002	0
25	5.78	-0.13	0	-0.001	0	12.857	0	0	0	0	12.855	1.464	18.8	0.0164	0.21	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.09	0.023	5	0.0002	0
30	5.77	-0.12	0	-0.001	0	12.788	0	-0.1	0	0	12.781	7.407	94.6	0.0186	0.24	5.73	-0.002	0	0	0	5.8	0.005	0	0.0001	0	241.9	0.023	5	0.0002	0
35	8.61	-0.13	0	-0.001	0	12.687	-0.01	-0.1	0	0	12.685	6.806	86.3	0.0285	0.36	8.57	-0.001	0	0	0	8.65	0.006	0	0.0001	0	242.04	0.023	5	0.0003	0.1
40	336.87	1.42	480	-0.001	0	14.138	33.57	474.6	0.006	0.08	14.134	-25.072	-354.4	0.0327	0.41	336.77	0.013	4	0	0	336.85	0.013	4	0.0001	0	241.86	0.023	5	0.0003	0.1
45	337.18	-2.98	-1000	-0.003	0	14.141	27.28	385.9	0.048	0.67	14.137	-18.491	-261.5	0.0027	-0.01	337.08	0.014	5	0	0	337.16	0.011	4	0.0001	0	241.61	6.264	1493	0.0061	1.4
50	338.25	-17.67	-5980	-0.016	-5	14.148	21.3	301.3	0.082	1.15	14.145	-12.278	-173.7	-0.0188	-0.32	338.14	0.017	6	0	0	338.22	0.011	4	0.0001	0	239.1	27.825	6647	0.0278	6.6
55	338.45	-17.98	-6090	-0.041	-13	14.043	13.29	186.7	0.106	1.5	14.04	-4.294	-60.3	-0.0312	-0.49	338.36	0.018	6	0.0001	0	338.43	0.009	3	0.0001	0	238.9	27.952	6671	0.0663	15.8
60	338.66	-18.83	-6380	-0.066	-22	14.042	12.8	179.8	0.125	1.76	14.038	-3.865	-54.3	-0.0371	-0.57	338.57	0.018	6	0.0001	0	338.64	0.009	3	0.0001	0	238.5	29.327	6989	0.1061	25.3
65	338.81	-18.78	-6360	-0.092	-31	14.043	12.54	176.2	0.142	2.01	14.039	-3.489	-49	-0.0423	-0.65	338.7	0.018	6	0.0001	0	338.78	0.009	3	0.0001	0	238.9	29.204	6971	0.1467	35
70	338.93	-18.95	-6420	-0.119	-40	14.043	12.16	170.8	0.159	2.25	14.04	-3.339	-46.9	-0.047	-0.71	338.83	0.018	6	0.0001	0	338.91	0.009	3	0.0002	0	238.85	29.272	6986	0.1874	44.7
75	339.04	-18.88	-6400	-0.145	-49	14.043	11.98	168.2	0.176	2.48	14.039	-3.065	-43.1	-0.0514	-0.78	338.93	0.018	6	0.0002	0.1	339.01	0.009	3	0.0002	0	238.92	29.153	6959	0.228	54.4
80	339.13	-18.82	-6380	-0.171	-57	14.044	11.94	167.7	0.193	2.72	14.041	-3.142	-44.1	-0.0557	-0.84	339.03	0.018	6	0.0002	0.1	339.11	0.009	3	0.0002	0	238.5	29.234	6966	0.2686	64.1
85	339.21	-18.75	-6360	-0.197	-66	14.043	11.81	165.9	0.209	2.95	14.039	-2.894	-40.7	-0.0598	-0.89	339.11	0.017	6	0.0002	0.1	339.2	0.009	3	0.0002	0	238.8	29.201	6967	0.3092	73.7
90	339.3	-18.91	-6420	-0.224	-75	14.044	11.88	166.8	0.226	3.18	14.04	-2.844	-40	-0.0639	-0.95	339.19	0.018	6	0.0002	0.1	339.28	0.009	3	0.0002	0	238.78	29.244	6977	0.3499	83.4
95	339.37	-18.9	-6410	-0.25	-84	14.044	11.95	167.9	0.242	3.41	14.041	-2.931	-41.2	-0.0679	-1.01	339.27	0.018	6	0.0003	0.1	339.33	0.009	3	0.0002	0.1	238.66	29.219	6967	0.3905	93.1
100	339.45	-18.92	-6420	-0.276	-93	14.042	11.7	164.4	0.258	3.64	14.039	-2.764	-38.8	-0.0718	-1.06	339.34	0.018	6	0.0003	0.1	339.41	0.009	3	0.0002	0.1	238.85	29.286	6989	0.4312	102.8
105	339.51	-18.82	-6390	-0.302	-102	14.044	11.9	167.2	0.275	3.87	14.04	-2.818	-39.6	-0.0758	-1.12	339.41	0.018	6	0.0003	0.1	339.47	0.009	3	0.0002	0.1	238.91	29.23	6977	0.4718	112.5
110	339.57	-18.87	-6410	-0.328	-111	14.043	12.73	178.7	0.292	4.11	14.04	-2.71	-38.1	-0.0796	-1.17	339.47	0.018	6	0.0003	0.1	339.54	0.009	3	0.0003	0.1	238.7	29.299	6988	0.5122	122.2
115	339.58	-18.27	-6200	-0.353	-119	14.041	14.88	209	0.31	4.37	14.038	-2.367	-33.3	-0.0831	-1.22	339.46	0.575	195	0.0015	0.5	339.53	0.01	3	0.0003	0.1	238.75	29.298	6989	0.5528	131.9
120	339.46	-15.72	-5340	-0.376	-127	14.043	13.98	196.3	0.33	4.64	14.038	-2.646	-37.2	-0.0868	-1.27	339.34	3.126	1061	0.0051	1.7	339.42	0.009	3	0.0003	0.1	239.03	29.293	6996	0.5934	141.6
125	339.46	-15.33	-5200	-0.397	-134	14.041	13.59	190.8	0.349	4.91	14.038	-2.636	-37.1	-0.0905	-1.32	339.35	3.438	1167	0.0098	3.3	339.43	0.009	3	0.0003	0.1	239.02	29.26	6988	0.6341	151.3
130	339.48	-15.23	-5170	-0.418	-141	14.042	13.84	194.4	0.368	5.18	14.038	-2.532	-35.6	-0.0942	-1.38	339.36	3.592	1219	0.0147	5	339.44	0.009	3	0.0003	0.1	238.8	29.169	6960	0.6746	160.9
135	339.5	-15.11	-5130	-0.439	-148	14.041	14.25	200.2	0.388	5.45	14.038	-2.567	-36.1	-0.0977	-1.43	339.39	3.677	1248	0.0197	6.7	339.45	0.009	3	0.0003	0.1	238.96	29.132	6956	0.7152	170.6
140	339.53	-15.04	-5110	-0.46	-156	14.04	14.55	204.4	0.407	5.73	14.038	-2.513	-35.3	-0.1013	-1.48	339.43	3.651	1239	0.0247	8.4	339.5	0.009	3	0.0003	0.1	238.98	29.205	6973	0.7557	180.3
145	339.56	-15.07	-5120	-0.481	-163	14.042	15.07	211.6	0.428	6.02	14.039	-2.553	-35.9	-0.1048	-1.53	339.46	3.611	1226	0.0298	10.1	339.53	0.01	3	0.0003	0.1	238.82	29.148	6955	0.7964	190
150	339.61	-15.21	-5170	-0.502	-170	14.041	15.18	213.1	0.449	6.31	14.038	-2.549	-35.8	-0.1083	-1.57	339.5	3.558	1208	0.0348	11.8	339.57	0.009	3	0.0004	0.1	238.57	29.171	6954	0.8369	199.7
155	339.63	-15.12	-5140	-0.523	-177	14.04	15.33	215.3	0.47	6.61	14.035	-2.352	-33	-0.1117	-1.62	339.54	3.503	1189	0.0397	13.5	339.61	0.009	3	0.0004	0.1	238.98	29.13	6955	0.8775	209.4
160	339.69	-15.35	-5210	-0.545	-184	14.041	15.7	220.5	0.492	6.91	14.037	-2.472	-34.7	-0.1151	-1.67	339.57	3.455	1173	0.0445	15.1	339.64	0.01	3	0.0004	0.1	238.81	29.282	6987	0.9181	219
165	339.72	-15.24	-5180	-0.566	-191	14.04	15.67	220	0.514	7.22	14.036	-2.377	-33.4	-0.1185	-1.72	339.62	3.409	1158	0.0493	16.7	339.69	0.009	3	0.0004	0.1	239.01	29.213	6976	0.9586	228.7
170	339.76	-15.32	-5200	-0.587	-199	14.04	15.92	223.5	0.536	7.53	14.036	-2.41	-33.9	-0.1218	-1.77	339.65	3.361	1141	0.054	18.3	339.73	0.01	3	0.0004	0.1	239.14	29.214	6980	0.9991	238.4
175	339.79	-15.32	-5210	-0.608	-206	14.041	16.33	229.3	0.558	7.84	14.037	-2.468	-34.7	-0.1252	-1.81	339.69	3.344	1136	0.0586	19.9	339.76	0.01	3	0.0004	0.1	239.14	29.227	6984	1.0396	248.1
180	339.82	-15.2	-5170	-0.629	-213	14.039	16.17	227.1	0.58	8.16	14.035	-2.34	-32.9	-0.1285	-1.86	339.73	3.373	1146	0.0633	21.5	339.8	0.01	3	0.0004	0.1	238.86	29.202	6969	1.0801	257.7
185	339.88	-15.51	-5270	-0.651	-220	14.042	16.36	229.7	0.603	8.48	14.038	-2.458	-34.5	-0.1318	-1.9	339.77	3.218	1093	0.0679	23.1	339.84	0.009	3	0.0005	0.1	239.24	29.147	6967	1.1207	267.4
190	339.91	-15.51	-5270	-0.672	-228	14.04	16.27	228.5	0.626	8.8	14.036	-2.348	-33	-0.1351	-1.95	339.82	3.074	1044	0.0723	24.5	339.88	0.01	3	0.0005	0.1	239.11	29.027	6935	1.1611	277.1
195	339.96	-15.69	-5330	-0.694	-235	14.04	16.34	229.4	0.648	9.11	14.037	-2.278	-32	-0.1383	-2	339.87	2.999	1019	0.0765	26	339.94	0.01	3	0.0005	0.1	239.13	29.153	6965	1.2016	286.8
200	340.01	-15.78	-5370	-0.716	-242	14.041	16.34	229.5	0.671	9.43	14.037	-2.377	-33.4	-0.1415	-2.04	339.91	2.915	991	0.0806	27.4	339.97	0.01	3	0.0005	0.1	238.81	29.197	6967	1.2421	296.4
205	340.05	-15.67	-5330	-0.737	-250	14.038	16.18	227.1	0.693	9.75	14.034	-2.195	-30.8	-0.1447	-2.09	339.95	2.855	971	0.0846	28.7	340.02	0.01	3	0.0005	0.1	239.02	29.161	6964	1.2822	306
210	340.08	-15.69	-5340	-0.759	-257	14.04	16.33	229.2	0.716	10.07	14.037	-2.315	-32.5	-0.148	-2.13	339.99	2.817	958	0.0885	30.1	340.06	0.01	3	0.0005	0.2	239.16	29.055	6942	1.3227	315.7
215	340.13	-15.91	-5410	-0.781	-265	14.039	16.16	226.9	0.738	10.38	14.036	-2.279	-32	-0.1511	-2.18	340.04	2.793	950	0.0924	31.4	340.1	0.01	3	0.0005	0.2	238.96	29.189	6969	1.3632	325.3
220	340.17	-15.71	-5340	-0.803	-272	14.04	16.16	227	0.761	10.7	14.036	-2.225	-31.2	-0.1543	-2.22	340.08	2.778	945	0.0963	32.7	340.15	0.009	3	0.0005	0.2	239.03	29.052	6938	1.4036	335
225	340.21	-15.8	-5380	-0.825	-280	14.04	16.37	229.9	0.784	11.01	14.036	-2.184	-30.7	-0.1574	-2.26	340.11	2.768	941	0.1001	34	340.19	0.009	3	0.0006	0.2	239.14	29.163	6968	1.4441	344.7
230	340.26	-15.93	-5420	-0.847	-287	14.039	16.16	226.9	0.806	11.33	14.036	-2.266	-31.8	-0.1605	-2.31	340.16	2.772	943	0.104	35.3	340.23	0.009	3	0.0006	0.2	239.1	29.131	6959	1.4845	354.3
235	340.29	-15.71	-5350	-0.869	-295	14.038	15.96	224.1	0.829	11.65	14.034	-2.084	-29.3	-0.1636	-2.35	340.2	2.79	949	0.1078	36.6	340.25	0.009	3	0.0006	0.2	239.23	29.088	6953	1.525	364
240	340.34	-15.87	-5400	-0.891	-302	14.04	15.84	222.3	0.851	11.96	14.036	-2.256	-31.7	-0.1667	-2.4	340.22	2.839	966	0.1117	38	340.29	0.01	3	0.0006	0.2	239.19	29.13	6961	1.5654	373.7
245	340.36	-15.65	-5330	-0.913	-309	14.041	15.91	223.5	0.873	12.27	14.037	-2.288	-32.1	-0.1698	-2.44	340.26	2.88	980	0.1157	39.3	340.33	0.009	3	0.0006	0.2	239.13	29.09	6950	1.6058	383.3
250	340.41	-15.74	-5360	-0.935	-317	14.04	15.88	223	0.895	12.58	14.036	-2.125	-29.9	-0.1729	-2.48	340.3	2.918	993	0.1198	40.7	340.37	0.009	3	0.0006	0.2	239.07	29.113	6954	1.6462	393
255	340.43	-15.6	-5310	-0.956	-324	14.041	15.99	224.6	0.917	12.89	14.037	-2.239	-31.5	-0.1759	-2.52	340.34	2.929	997	0.1238	42.1	340.41	0.009	3	0.0006	0.2	239.29	29.014	6936	1.6866	402.6
260	340.49	-15.76	-5360	-0.978	-332	14.041	15.88	222.9	0.939	13.2	14.037	-2.259	-31.7	-0.1789	-2.57	340.37	2.919	994	0.1279	43.4	340.45	0.009	3	0.0007	0.2	239.38	29.099	6959	1.7271	412.3
265	340.53	-15.86	-5400	-1	-339	14.039	14.79	207.7	0.96	13.5	14.035	-2.189	-30.8	-0.1819	-2.61	340.44	2.733	930	0.1317	44.7	340.51	0.009	3	0.0007	0.2	239.4	29.08	6956	1.7675	422
270	340.58	-15.77	-5370	-1.022	-347	14.041	14.89	209.1	0.981	13.79	14.037	-2.211	-31.1	-0.185	-2.65	340.48	2.872	978	0.1356	46.1	340.54	0.009	3	0.0007	0.2	239.26	29.089	6954	1.8079	431.6
275	340.61	-15.74	-5360	-1.044	-354	14.04	14.71	206.6	1.002	14.07	14.037	-2.198	-30.9	-0.188	-2.69	340.5	2.921	995	0.1396	47.5	340.59	0.009	3	0.0007	0.2	239.31	29.016	6937	1.8483	441.3
280	340.65	-15.71	-5350	-1.066	-362	14.039	14.74	207.1	1.022	14.36	14.036	-2.079	-29.2	-0.1909	-2.74	340.55	2.923	996	0.1437	48.8	340.62	0.009	3	0.0007	0.2	239.28	29.149	6969	1.8887	451
285	340.68	-15.69	-5350	-1.088	-369	14.039	14.37	201.8	1.042	14.64	14.035	-1.978	-27.8	-0.1939	-2.78	340.59	2.932	999	0.1478	50.2	340.67	0.009	3	0.0007	0.2	239.46	29.081	6957	1.9292	460.6
290	340.72	-15.77	-5370	-1.11	-376	14.042	14.57	204.7	1.062	14.93	14.039	-2.242	-31.5	-0.1968	-2.82	340.62	2.95	1005	0.1519	51.6	340.69	0.009	3	0.0007	0.2	239.5	29.118	6967	1.9696	470.3
295	340.75	-15.56	-5300	-1.131	-384	14.039	15.12	212.4	1.083	15.22	14.036	-2.039	-28.7	-0.1996	-2.86	340.66	2.987	1017	0.156	53	340.75	0.009	3	0.0007	0.2	239.26	29.097	6955	2.01	480
300	340.8	-15.6	-5310	-1.153	-391	14.039	15.19	213.3	1.104	15.52	14.035	-1.927	-27.1	-0.2025	-2.9	340.71	2.982	1016	0.1601	54.4	340.78	0.009	3	0.0008	0.2	238.89	29.166	6961	2.0504	489.6
305	340.84	-15.65	-5330	-1.175	-399	14.04	15.25	214.1	1.125	15.81	14.036	-2.06	-28.9	-0.2053	-2.94	340.74	2.979	1015	0.1642	55.8	340.82	0.009	3	0.0008	0.2	239.37	29.028	6942	2.0908	499.3
310	340.87	-15.53	-5290	-1.196	-406	14.04	15.17	213.1	1.147	16.11	14.037	-2.119	-29.8	-0.2081	-2.98	340.79	2.995	1021	0.1684	57.2	340.86	0.009	3	0.0008	0.2	239.31	29.023	6939	2.1312	508.9
315	340.92	-15.64	-5330	-1.218	-413	14.04	15.1	212.1	1.168	16.41	14.036	-1.99	-28	-0.211	-3.02	340.83	3.003	1024	0.1726	58.7	340.91	0.009	3	0.0008	0.2	239.17	29.055	6943	2.1717	518.6
320	340.96	-15.55	-5300	-1.24	-421	14.041	15.22	213.7	1.189	16.7	14.036	-2.022	-28.4	-0.2138	-3.06	340.87	2.996	1021	0.1767	60.1	340.95	0.009	3	0.0008	0.3	238.72	29.183	6960	2.2121	528.3
325	341.01	-15.63	-5330	-1.261	-428	14.043	15.44	216.8	1.21	17	14.039	-2.162	-30.4	-0.2166	-3.1	340.92	2.988	1019	0.1809	61.5	340.99	0.01	3	0.0008	0.3	239.02	29.108	6951	2.2525	537.9
330	341.05	-15.5	-5290	-1.283	-436	14.039	15.26	214.3	1.231	17.3	14.036	-2.003	-28.1	-0.2193	-3.13	340.95	2.968	1012	0.185	62.9	341.03	0.01	3	0.0008	0.3	238.99	29.031	6932	2.2929	547.5
335	341.1	-15.67	-5340	-1.305	-443	14.04	15.61	219.1	1.252	17.6	14.036	-1.937	-27.2	-0.2221	-3.17	341	2.967	1012	0.1892	64.3	341.07	0.009	3	0.0008	0.3	238.97	29.151	6960	2.3333	557.2
340	341.14	-15.61	-5330	-1.326	-450	14.039	15.43	216.6	1.274	17.9	14.036	-1.984	-27.9	-0.2248	-3.21	341.03	2.956	1008	0.1933	65.7	341.11	0.009	3	0.0009	0.3	239.22	29.033	6939	2.3737	566.9
345	341.16	-15.47	-5280	-1.348	-458	14.039	15.34	215.4	1.295	18.2	14.036	-1.996	-28.1	-0.2275	-3.25	341.09	2.95	1006	0.1974	67.1	341.15	0.01	3	0.0009	0.3	239.19	28.992	6928	2.4141	576.5
350	341.23	-15.7	-5360	-1.37	-465	14.039	15.43	216.7	1.317	18.5	14.036	-1.918	-26.9	-0.2302	-3.29	341.13	2.933	1001	0.2015	68.5	341.19	0.01	3	0.0009	0.3	239.11	29.013	6931	2.4544	586.1
355	341.26	-15.53	-5300	-1.391	-472	14.039	15.51	217.8	1.338	18.8	14.036	-1.985	-27.9	-0.2329	-3.33	341.17	2.916	995	0.2055	69.9	341.25	0.01	3	0.0009	0.3	239.39	29.034	6944	2.4947	595.8
360	341.31	-15.72	-5370	-1.413	-480	14.041	15.56	218.6	1.36	19.1	14.038	-2.07	-29.1	-0.2356	-3.36	341.22	2.897	988	0.2096	71.3	341.28	0.01	3	0.0009	0.3	239.28	29.061	6948	2.5351	605.4
365	341.36	-15.74	-5370	-1.435	-487	14.038	15.35	215.6	1.381	19.4	14.036	-1.921	-27	-0.2382	-3.4	341.25	2.881	983	0.2136	72.7	341.33	0.009	3	0.0009	0.3	239.28	29.055	6946	2.5754	615.1
370	341.39	-15.58	-5320	-1.457	-495	14.04	15.45	216.9	1.403	19.7	14.036	-1.863	-26.2	-0.2409	-3.44	341.31	2.876	982	0.2176	74	341.37	0.01	3	0.0009	0.3	239.27	29.057	6946	2.6157	624.7
375	341.43	-15.67	-5350	-1.478	-502	14.04	15.61	219.2	1.424	20.01	14.036	-1.95	-27.4	-0.2435	-3.47	341.36	2.872	980	0.2216	75.4	341.41	0.009	3	0.001	0.3	239.48	29.037	6948	2.656	634.4
380	341.49	-15.74	-5380	-1.5	-510	14.04	15.46	217	1.446	20.31	14.037	-1.97	-27.7	-0.2461	-3.51	341.4	2.869	980	0.2256	76.7	341.46	0.01	3	0.001	0.3	239.46	29.044	6949	2.6964	644
385	341.53	-15.69	-5360	-1.522	-517	14.038	15.35	215.5	1.467	20.61	14.035	-1.844	-25.9	-0.2487	-3.55	341.44	2.859	976	0.2295	78.1	341.51	0.01	3	0.001	0.3	239.36	29.048	6947	2.7367	653.6
390	341.57	-15.59	-5330	-1.544	-525	14.038	15.49	217.5	1.488	20.91	14.034	-1.725	-24.3	-0.2513	-3.58	341.5	2.865	978	0.2335	79.5	341.55	0.01	3	0.001	0.3	239.25	29.071	6949	2.777	663.3
395	341.61	-15.77	-5390	-1.565	-532	14.04	15.45	216.9	1.51	21.21	14.037	-1.917	-26.9	-0.2539	-3.62	341.54	2.866	979	0.2375	80.8	341.59	0.01	3	0.001	0.3	239.49	29.03	6946	2.8174	672.9
400	341.66	-15.56	-5320	-1.587	-539	14.038	15.46	217.1	1.531	21.51	14.035	-1.786	-25.1	-0.2564	-3.66	341.58	2.87	980	0.2415	82.2	341.64	0.01	3	0.001	0.3	239.3	29.048	6945	2.8577	682.6
405	341.71	-15.62	-5340	-1.609	-547	14.038	15.29	214.7	1.552	21.81	14.035	-1.71	-24	-0.259	-3.69	341.62	2.868	980	0.2454	83.5	341.68	0.01	3	0.001	0.3	239.63	29.007	6944	2.898	692.2
410	341.75	-15.71	-5370	-1.631	-554	14.039	15.42	216.5	1.574	22.11	14.035	-1.762	-24.8	-0.2615	-3.73	341.67	2.862	978	0.2494	84.9	341.73	0.01	3	0.001	0.3	239.38	29.05	6948	2.9384	701.9
415	341.8	-15.66	-5350	-1.652	-562	14.041	15.42	216.5	1.595	22.41	14.037	-1.938	-27.2	-0.264	-3.76	341.72	2.859	977	0.2534	86.2	341.78	0.009	3	0.0011	0.3	239.44	29.089	6959	2.9787	711.5
420	341.84	-15.69	-5360	-1.674	-569	14.038	15.28	214.6	1.616	22.71	14.034	-1.708	-24	-0.2665	-3.8	341.75	2.855	976	0.2574	87.6	341.82	0.01	3	0.0011	0.3	239.33	29.049	6946	3.0191	721.2
425	342.08	-18.38	-6290	-1.696	-577	14.039	15.33	215.3	1.638	23.01	14.035	-1.743	-24.5	-0.269	-3.83	342	0.019	7	0.2611	88.9	342.05	0.01	3	0.0011	0.3	239.4	29.079	6955	3.0594	730.8
430	342.17	-18.56	-6350	-1.722	-585	14.04	15.49	217.5	1.659	23.31	14.036	-1.774	-24.9	-0.2715	-3.87	342.06	0.019	7	0.2611	88.9	342.13	0.01	3	0.0011	0.4	239.49	29.052	6951	3.0998	740.5
435	342.23	-18.43	-6310	-1.747	-594	14.041	14.59	204.9	1.68	23.6	14.037	-1.937	-27.2	-0.274	-3.9	342.14	0.019	6	0.2612	88.9	342.21	0.01	3	0.0011	0.4	239.29	29.079	6952	3.1401	750.1
440	342.31	-18.56	-6350	-1.773	-603	14.039	14.24	200	1.7	23.88	14.035	-1.672	-23.5	-0.2765	-3.94	342.21	0.019	7	0.2612	88.9	342.26	0.01	3	0.0011	0.4	239.18	29.07	6946	3.1805	759.8
445	342.38	-18.59	-6370	-1.799	-612	14.04	14.09	197.9	1.72	24.16	14.036	-1.746	-24.6	-0.279	-3.97	342.27	0.019	7	0.2612	88.9	342.34	0.009	3	0.0011	0.4	239.48	29.033	6946	3.2208	769.4
450	342.43	-18.5	-6330	-1.825	-621	14.041	14.2	199.4	1.739	24.43	14.038	-1.854	-26.1	-0.2815	-4.01	342.34	0.019	6	0.2612	88.9	342.4	0.01	3	0.0012	0.4	239.46	29.044	6948	3.2615	779.1
455	342.49	-18.41	-6310	-1.85	-629	14.041	14.19	199.3	1.759	24.7	14.038	-1.87	-26.3	-0.2839	-4.04	342.41	0.019	7	0.2613	88.9	342.46	0.01	3	0.0012	0.4	239.33	29.008	6936	3.3018	788.8
460	342.56	-18.57	-6360	-1.876	-638	14.039	13.98	196.4	1.778	24.98	14.035	-1.621	-22.8	-0.2863	-4.08	342.46	0.019	7	0.2613	89	342.51	0.01	3	0.0012	0.4	239.25	28.997	6931	3.3421	798.4
465	342.6	-18.31	-6270	-1.901	-647	14.041	14.04	197.1	1.798	25.25	14.037	-1.745	-24.5	-0.2887	-4.11	342.51	0.019	7	0.2613	89	342.57	0.01	3	0.0012	0.4	239.33	28.87	6903	3.3822	808
470	342.66	-18.45	-6320	-1.927	-656	14.041	12.7	178.4	1.817	25.53	14.037	-1.78	-25	-0.2912	-4.15	342.58	0.019	7	0.2613	89	342.64	0.009	3	0.0012	0.4	239.3	28.996	6932	3.4224	817.6
475	342.73	-18.51	-6340	-1.953	-665	14.041	13.05	183.2	1.835	25.78	14.038	-1.807	-25.4	-0.2936	-4.18	342.64	0.02	7	0.2614	89	342.7	0.01	3	0.0012	0.4	239.52	28.976	6934	3.4626	827.3
480	342.78	-18.5	-6340	-1.978	-673	14.039	12.83	180.2	1.853	26.03	14.035	-1.581	-22.2	-0.296	-4.21	342.69	0.02	7	0.2614	89	342.74	0.009	3	0.0012	0.4	239.53	28.84	6902	3.5028	836.9
485	342.83	-18.4	-6310	-2.004	-682	14.041	12.86	180.6	1.871	26.28	14.038	-1.703	-24	-0.2984	-4.25	342.75	0.019	6	0.2614	89	342.82	0.009	3	0.0012	0.4	239.37	29.004	6936	3.543	846.5
490	342.91	-18.44	-6320	-2.03	-691	14.04	12.92	181.4	1.889	26.53	14.037	-1.721	-24.2	-0.3007	-4.28	342.81	0.019	7	0.2614	89	342.86	0.009	3	0.0013	0.4	239.23	28.981	6927	3.5832	856.1
495	342.96	-18.57	-6370	-2.055	-700	14.042	12.95	181.9	1.906	26.78	14.039	-1.783	-25.1	-0.303	-4.31	342.85	0.019	6	0.2615	89	342.93	0.009	3	0.0013	0.4	239.43	28.968	6930	3.6234	865.7
500	343	-18.36	-6300	-2.081	-709	14.04	12.77	179.3	1.924	27.03	14.036	-1.543	-21.7	-0.3053	-4.34	342.92	0.019	6	0.2615	89	342.99	0.009	3	0.0013	0.4	239.47	28.877	6909	3.6636	875.3
505	343.07	-18.49	-6340	-2.107	-717	14.04	12.68	178.1	1.942	27.28	14.036	-1.602	-22.5	-0.3076	-4.38	342.97	0.019	7	0.2615	89	343.04	0.009	3	0.0013	0.4	239.4	28.858	6902	3.7037	884.9
510	343.13	-18.5	-6350	-2.133	-726	14.041	12.79	179.6	1.96	27.53	14.037	-1.641	-23.1	-0.3099	-4.41	343.04	0.019	6	0.2616	89	343.12	0.009	3	0.0013	0.4	239.28	29.085	6953	3.744	894.6
515	343.19	-18.46	-6340	-2.158	-735	14.04	12.77	179.3	1.977	27.78	14.037	-1.673	-23.5	-0.3122	-4.44	343.08	0.019	7	0.2616	89.1	343.16	0.009	3	0.0013	0.4	239.45	28.844	6900	3.7842	904.2
520	343.24	-18.42	-6320	-2.184	-744	14.042	12.77	179.3	1.995	28.02	14.038	-1.744	-24.5	-0.3144	-4.47	343.15	0.019	7	0.2616	89.1	343.22	0.009	3	0.0013	0.4	239.24	29.003	6933	3.8243	913.8
525	343.32	-18.58	-6380	-2.209	-752	14.04	12.68	178	2.013	28.27	14.036	-1.567	-22	-0.3167	-4.5	343.21	0.019	7	0.2616	89.1	343.27	0.01	3	0.0014	0.4	239.42	28.992	6935	3.8646	923.4
530	343.37	-18.52	-6360	-2.235	-761	14.041	12.7	178.3	2.03	28.52	14.037	-1.605	-22.6	-0.3189	-4.53	343.26	0.019	6	0.2617	89.1	343.34	0.009	3	0.0014	0.4	239.42	28.99	6934	3.9048	933
535	343.43	-18.52	-6360	-2.261	-770	14.042	12.81	179.9	2.048	28.77	14.039	-1.702	-23.9	-0.3211	-4.57	343.32	0.02	7	0.2617	89.1	343.4	0.009	3	0.0014	0.4	239.43	28.964	6928	3.945	942.6
540	343.47	-18.3	-6280	-2.286	-779	14.04	12.57	176.5	2.065	29.01	14.036	-1.572	-22.1	-0.3233	-4.6	343.37	0.019	6	0.2617	89.1	343.45	0.009	3	0.0014	0.4	239.32	28.827	6892	3.9853	952.3
